ean;mfn;brand;name;category;data_accuracy_score;net_weight_g;gross_weight_g
5900000000001;MFN-CLEAR-01;AMD;AMD ClearEdge Pro X3D;CPU;1;200;300
5900000000002;MZ-V8V1T0BW;Samsung;Samsung 980 NVMe 1TB;Storage;1;50;100
5900000000003;MFN-TWIN-01;G.Skill;G.Skill TwinMatch 32GB DDR5 Kit;Memory;1;50;100
5900000000004;100-100001015BOX;AMD;AMD Ryzen 5 7600;CPU;1;200;300
5900000000005;DUAL-RTX4070-O12G;ASUS;ASUS Dual GeForce RTX 4070 12GB;GPU;1;900;1200
5900000000006;RX7800XT-16G;Sapphire;Sapphire Pulse Radeon RX 7800 XT 16GB;GPU;1;900;1200
5900000000007;RTX4090-GAMING-24G;MSI;MSI GeForce RTX 4090 Gaming X Trio 24GB;GPU;1;900;1200
5900000000008;100-100000910WOF;AMD;AMD Ryzen 7 7800X3D;CPU;1;200;300
5900000000009;BX8071514600KF;Intel;Intel Core i5-14600KF;CPU;1;200;300
5900000000010;BX8071514900K;Intel;Intel Core i9-14900K;CPU;1;200;300
5900000000011;NH-D15;Noctua;Noctua NH-D15 CPU Cooler;Cooler;1;700;900
5900000000012;ML360R-RGB;Cooler Master;Cooler Master MasterLiquid ML360R RGB;Cooler;1;700;900
5900000000013;PA120-SE;Thermalright;Thermalright Peerless Assassin 120 SE;Cooler;1;700;900
5900000000014;B650-TOMAHAWK-WIFI;MSI;MSI MAG B650 Tomahawk WiFi;Motherboard;1;800;1000
5900000000015;ROG-STRIX-Z790-E;ASUS;ASUS ROG Strix Z790-E Gaming WiFi;Motherboard;1;800;1000
5900000000016;B550M-DS3H;Gigabyte;Gigabyte B550M DS3H;Motherboard;1;800;1000
5900000000017;RM850E;Corsair;Corsair RM850e 850W 80+ Gold;PSU;1;1800;2200
5900000000018;RM650;Corsair;Corsair RM650 650W 80+ Gold;PSU;1;1800;2200
5900000000019;SF750-PLAT;Corsair;Corsair SF750 750W SFX 80+ Platinum;PSU;1;1800;2200
