ean;mfn;brand;name;category;price;currency;qty
5900000000001;MFN-CLEAR-01;AMD;AMD ClearEdge Pro X3D;CPU;1056.10;PLN;20
5900000000002;MZ-V8V1T0BW;Samsung;Samsung 980 NVMe 1TB;Storage;243.09;PLN;50
5900000000003;MFN-TWIN-01;G.Skill;G.Skill TwinMatch 32GB DDR5 Kit;Memory;373.17;PLN;50
5900000000004;100-100001015BOX;AMD;AMD Ryzen 5 7600;CPU;730.89;PLN;30
5900000000005;DUAL-RTX4070-O12G;ASUS;ASUS Dual GeForce RTX 4070 12GB;GPU;2194.31;PLN;15
5900000000007;RTX4090-GAMING-24G;MSI;MSI GeForce RTX 4090 Gaming X Trio 24GB;GPU;7722.76;PLN;4
5900000000008;100-100000910WOF;AMD;AMD Ryzen 7 7800X3D;CPU;1462.60;PLN;18
5900000000009;BX8071514600KF;Intel;Intel Core i5-14600KF;CPU;934.15;PLN;22
5900000000011;NH-D15;Noctua;Noctua NH-D15 CPU Cooler;Cooler;365.04;PLN;40
5900000000012;ML360R-RGB;Cooler Master;Cooler Master MasterLiquid ML360R RGB;Cooler;454.47;PLN;16
5900000000014;B650-TOMAHAWK-WIFI;MSI;MSI MAG B650 Tomahawk WiFi;Motherboard;730.89;PLN;20
5900000000015;ROG-STRIX-Z790-E;ASUS;ASUS ROG Strix Z790-E Gaming WiFi;Motherboard;1543.90;PLN;9
5900000000017;RM850E;Corsair;Corsair RM850e 850W 80+ Gold;PSU;446.34;PLN;28
5900000000018;RM650;Corsair;Corsair RM650 650W 80+ Gold;PSU;340.65;PLN;30
5900000000020;980PRO-2TB;Samsung;Samsung 980 Pro 2TB NVMe Gen4;Storage;568.29;PLN;24
5900000000021;SN850X-1TB;WD;WD Black SN850X 1TB NVMe Gen4;Storage;324.39;PLN;40
5900000000023;WD40EFPX;WD;WD Red Plus 4TB NAS HDD;Storage;446.34;PLN;20
5900000000024;F5-6000J3038F16GX2;G.Skill;G.Skill Trident Z5 RGB 32GB DDR5-6000;Memory;470.73;PLN;30
5900000000026;KF432C16BB1K2;Kingston;Kingston Fury Beast 16GB DDR4-3200;Memory;186.18;PLN;50
5900000000027;4000D-AIRFLOW;Corsair;Corsair 4000D Airflow Mid Tower;Case;324.39;PLN;25
5900000000029;NR200P;Cooler Master;Cooler Master NR200P SFF;Case;340.65;PLN;14
5900000000030;NF-A12X25;Noctua;Noctua NF-A12x25 PWM 120mm Fan;Fan;121.14;PLN;80
5900000000032;VG271UP;Acer;Acer Nitro VG271UP 27 QHD 144Hz;Displays;974.80;PLN;16
5900000000033;LG27GP850;LG;LG UltraGear 27GP850-B 27 QHD 165Hz;Displays;1218.70;PLN;12
5900000000035;U2723QE;Dell;Dell UltraSharp U2723QE 27 4K USB-C;Displays;2275.61;PLN;6
5900000000036;G915-TKL;Logitech;Logitech G915 TKL Wireless Keyboard;Keyboards;730.89;PLN;20
5900000000038;KEYCHRON-K8;Keychron;Keychron K8 Wireless Mechanical;Keyboards;365.04;PLN;30
5900000000039;G-PRO-X-SUPERLIGHT;Logitech;Logitech G Pro X Superlight Wireless;Mice;527.64;PLN;25
5900000000041;M-DEATHADDER-V3;Razer;Razer DeathAdder V3 Wired;Mice;243.09;PLN;40
