pimId;ean;mfn;brand;label;name;category;priceGross;qty;estDeliveryDays;lowest30dPrice;supplier;inWarehouse;inCatalog
local-seed-0001;5900000000001;MFN-CLEAR-01;AMD;AMD ClearEdge;AMD ClearEdge Pro X3D;CPU;1299;20;1;1299;Acme,AcmeB;true;true
local-seed-0002;5900000000002;MZ-V8V1T0BW;Samsung;Samsung 980;Samsung 980 NVMe 1TB;Storage;299;50;1;319;Acme,AcmeB;true;true
local-seed-0003;5900000000003;MFN-TWIN-01;G.Skill;TwinMatch DDR5;G.Skill TwinMatch 32GB DDR5 Kit;Memory;459;50;1;479;Acme,AcmeB;true;true
local-seed-0004;5900000000004;100-100001015BOX;AMD;Ryzen 5 7600;AMD Ryzen 5 7600;CPU;899;30;1;949;Acme;true;true
local-seed-0005;5900000000005;DUAL-RTX4070-O12G;ASUS;Dual RTX 4070;ASUS Dual GeForce RTX 4070 12GB;GPU;2699;15;2;2799;Acme,AcmeB;true;true
local-seed-0006;5900000000006;RX7800XT-16G;Sapphire;Pulse RX 7800 XT;Sapphire Pulse Radeon RX 7800 XT 16GB;GPU;2399;10;2;2499;AcmeB;false;true
local-seed-0007;5900000000007;RTX4090-GAMING-24G;MSI;RTX 4090 Gaming;MSI GeForce RTX 4090 Gaming X Trio 24GB;GPU;9499;4;3;9799;Acme;false;true
local-seed-0008;5900000000008;100-100000910WOF;AMD;Ryzen 7 7800X3D;AMD Ryzen 7 7800X3D;CPU;1799;18;1;1899;Acme,AcmeB;true;true
local-seed-0009;5900000000009;BX8071514600KF;Intel;Core i5-14600KF;Intel Core i5-14600KF;CPU;1149;22;1;1199;Acme;false;true
local-seed-0010;5900000000010;BX8071514900K;Intel;Core i9-14900K;Intel Core i9-14900K;CPU;2599;8;1;2699;AcmeB;false;true
local-seed-0011;5900000000011;NH-D15;Noctua;NH-D15;Noctua NH-D15 CPU Cooler;Cooler;449;40;1;459;Acme,AcmeB;true;true
local-seed-0012;5900000000012;ML360R-RGB;Cooler Master;MasterLiquid 360R;Cooler Master MasterLiquid ML360R RGB;Cooler;559;16;2;599;Acme;false;true
local-seed-0013;5900000000013;PA120-SE;Thermalright;Peerless Assassin 120;Thermalright Peerless Assassin 120 SE;Cooler;179;60;1;189;AcmeB;false;true
local-seed-0014;5900000000014;B650-TOMAHAWK-WIFI;MSI;MAG B650 Tomahawk;MSI MAG B650 Tomahawk WiFi;Motherboard;899;20;1;949;Acme,AcmeB;true;true
local-seed-0015;5900000000015;ROG-STRIX-Z790-E;ASUS;ROG Strix Z790-E;ASUS ROG Strix Z790-E Gaming WiFi;Motherboard;1899;9;2;1999;Acme;false;true
local-seed-0016;5900000000016;B550M-DS3H;Gigabyte;B550M DS3H;Gigabyte B550M DS3H;Motherboard;399;35;1;419;AcmeB;false;true
local-seed-0017;5900000000017;RM850E;Corsair;RM850e;Corsair RM850e 850W 80+ Gold;PSU;549;28;1;579;Acme,AcmeB;true;true
local-seed-0018;5900000000018;RM650;Corsair;RM650;Corsair RM650 650W 80+ Gold;PSU;419;30;1;449;Acme;true;true
